Rank,School,Overall score,Compen- sation,Learning,Network- ing,Entrepre- neurship,Diversity,Overall score with BBW weights,Scaled overall score with BBW weights,Rank w/ BBW weights applied to 'normalized' scores,Rank w/ BBW weights applied to z-scores,Overall score with true weights,Scaled overall score with true weights,Rank w/true weights,Compen- sation z-score,Learning z-score,Network- ing z-score,Entrepre- neurship z-score,Diversity z-score,Overall z-score with BBW's wts
57,William and Mary (Mason),41,37.7,67.5,69.0,66,38.3,54.3,55,42,40,45.6,40,58,-0.6597,0.9621,0.2247,0.9778,-0.6620,0.1131
57,Baylor (Hankamer),40,31.9,81.6,70.2,48,59.5,55.9,57,39,38,45.3,40,59,-0.8845,1.6622,0.2765,0.1166,0.3150,0.2034
60,San Diego,38,38.3,45.2,56.6,59,45.4,46.3,45,55,56,43.4,38,60,-0.6365,-0.1453,-0.3109,0.6165,-0.3348,-0.2749
60,Northeastern (D'Amore-McKim),32,39.5,16.3,42.0,17,57.7,32.7,28,70,73,39.0,32,61,-0.5900,-1.5804,-0.9415,-1.4524,0.2320,-0.9403
60,Purdue (Krannert),31,44.9,20.4,29.9,3,45.1,30.8,26,74,75,38.2,31,62,-0.3807,-1.3768,-1.4641,-2.1403,-0.3486,-1.0386
63,Boston College (Carroll),30,49.4,8.8,42.4,3,18.2,29.4,24,77,77,37.1,30,63,-0.2063,-1.9528,-0.9242,-2.1304,-1.5883,-1.1342
64,SUNY at Buffalo,29,21.8,56.8,66.5,40,59.8,44.2,42,59,57,36.5,29,64,-1.2759,0.4307,0.1167,-0.2892,0.3288,-0.3300
64,Denver (Daniels),29,29.5,33.5,42.4,38,59.2,36.4,33,68,67,36.4,29,65,-0.9775,-0.7263,-0.9242,-0.3932,0.3011,-0.7221
64,Willamette (Atkinson),29,17.9,47.6,61.7,60,69.3,42.8,41,63,60,36.0,28,66,-1.4270,-0.0261,-0.0906,0.6660,0.7666,-0.3865
64,Utah (Eccles),28,39.2,21.1,9.6,40,43.5,29.7,24,76,76,35.5,28,67,-0.6016,-1.3420,-2.3410,-0.2793,-0.4224,-1.0476
68,Houston (Bauer),26,25.3,55.2,75.2,44,25.5,44.1,42,61,58,34.3,26,68,-1.1402,0.3513,0.4925,-0.1259,-1.2519,-0.3515
68,Bentley,26,21.6,38.8,36.3,30,76.6,34.3,30,69,69,33.6,26,69,-1.2836,-0.4631,-1.1877,-0.8040,1.1030,-0.7908
68,American (Kogod),25,25.1,33.9,22.4,12,81.9,30.2,25,75,74,33.2,25,70,-1.1480,-0.7064,-1.7881,-1.6899,1.3472,-0.9973
71,UC at San Diego (Rady),24,26.2,61.0,49.5,69,12.0,43.2,41,62,59,32.5,24,71,-1.1054,0.6393,-0.6176,1.1411,-1.8740,-0.3638
72,Mississippi,24,17.6,57.4,84.2,67,22.3,46.0,45,57,53,32.2,24,72,-1.4386,0.4605,0.8812,1.0124,-1.3993,-0.2368
72,Colorado at Boulder (Leeds),23,27.5,26.2,32.2,57,37.3,32.3,28,71,71,31.7,23,73,-1.0550,-1.0888,-1.3648,0.5324,-0.7081,-0.8975
74,Tampa (Sykes),23,14.5,61.6,40.4,49,65.2,39.8,37,66,65,31.4,23,74,-1.5588,0.6691,-1.0106,0.1661,0.5776,-0.4941
74,South Carolina (Darla Moore),21,36.7,19.6,33.7,9.1,18.3,26.8,21,78,79,30.1,21,75,-0.6985,-1.4165,-1.3000,-1.8285,-1.5837,-1.2018
74,Florida International (Chapman),20,1.1,58.9,54.9,57,90.0,39.9,37,65,63,29.3,20,76,-2.0780,0.5350,-0.3843,0.5274,1.7205,-0.4610
77,Rochester Institute of Technology (Saunders),16,21.0,18.1,16.9,22,58.6,22.9,16,81,81,26.2,16,77,-1.3069,-1.4910,-2.0257,-1.1851,0.2735,-1.3305
77,Case Western Reserve (Weatherhead),16,23.6,17.4,32.5,27,34.4,24.8,18,80,80,25.9,16,78,-1.2061,-1.5258,-1.3518,-0.9673,-0.8417,-1.2533
77,Oklahoma (Price),16,29.6,19.8,32.3,37,2.8,26.2,20,79,78,25.6,16,79,-0.9736,-1.4066,-1.3605,-0.4278,-2.2980,-1.2016
77,Tulane (Freeman),15,18.0,40.5,36.2,51,24.0,31.5,27,73,72,25.2,15,80,-1.4231,-0.3787,-1.1920,0.2552,-1.3210,-0.9009
81,Baruch (Zicklin),14,27.6,0.0,23.7,5,36.6,17.8,10,83,83,24.6,14,81,-1.0511,-2.3898,-1.7319,-2.0562,-0.7403,-1.6105
81,Syracuse (Whitman),13,11.2,36.3,58.8,54,23.4,32.3,28,72,70,23.4,13,82,-1.6866,-0.5873,-0.2159,0.3839,-1.3486,-0.8620
83,Kentucky (Gatton),3,6.9,20.2,35.6,32,23.9,19.9,12,82,82,15.5,3,83,-1.8533,-1.3867,-1.2179,-0.6802,-1.3256,-1.4318
84,Charleston,0,0.0,9.8,0.0,7,76.4,10.0,0,84,84,13.1,0,84,-2.1207,-1.9032,-2.7556,-1.9275,1.0938,-1.8758
